,Indicator,Quarter,Revenue,Profit
0,John Minker,Q1/2013,9416744.959999999,1876320.0299999998
1,John Minker,Q2/2013,9223837.280000001,1603766.72
2,John Minker,Q3/2013,7619990.039999999,1457779.7399999998
3,John Minker,Q4/2013,7371853.24,1607575.8499999999
4,John Minker,Q1/2014,3895158.48,823179.13
5,John Minker,Q2/2014,4279883.76,732586.7300000001
6,John Minker,Q3/2014,6356114.08,1236589.01
7,John Minker,Q4/2014,7654625.4399999995,1369652.79
8,John Minker,Q1/2015,10182811.799999999,2141964.8800000004
9,John Minker,Q2/2015,10098107.079999998,2207351.33
10,John Minker,Q3/2015,14087636.04,2417302.1300000004
11,John Minker,Q4/2015,9985292.84,2213594.33
12,Nancy Miller,Q1/2013,13060752.28,2327531.51
13,Nancy Miller,Q2/2013,7644821.720000001,1367081.57
14,Nancy Miller,Q3/2013,4397691.640000001,785082.9199999999
15,Nancy Miller,Q4/2013,6069727.800000001,1108235.97
16,Nancy Miller,Q1/2014,4513962.24,867413.6900000001
17,Nancy Miller,Q2/2014,5760196.68,909221.59
18,Nancy Miller,Q3/2014,11579565.0,2092181.08
19,Nancy Miller,Q4/2014,9281093.280000001,1765166.0699999998
20,Nancy Miller,Q1/2015,9002726.24,1763619.71
21,Nancy Miller,Q2/2015,7968214.880000001,1522824.77
22,Nancy Miller,Q3/2015,10772087.84,2119940.05
23,Nancy Miller,Q4/2015,7772953.801891999,1489362.1
24,David Carl,Q1/2013,13819455.32,3014724.9099999997
25,David Carl,Q2/2013,15220574.200000001,2923025.59
26,David Carl,Q3/2013,9937995.32,2280084.84
27,David Carl,Q4/2013,12414629.16,2954386.0
28,David Carl,Q1/2014,15030539.44,3193370.85
29,David Carl,Q2/2014,10445194.360000001,2044061.78
30,David Carl,Q3/2014,14249833.160000002,3140028.2099999995
31,David Carl,Q4/2014,18865982.28,4544504.5600000005
32,David Carl,Q1/2015,19131067.84,4605521.539999999
33,David Carl,Q2/2015,16112269.599999998,3818720.92
34,David Carl,Q3/2015,15254058.12,3605763.45
35,David Carl,Q4/2015,21682765.24,4608735.18
36,Gary Dumin,Q1/2013,4609746.24,891615.9999999999
37,Gary Dumin,Q2/2013,4095871.84,543611.6
38,Gary Dumin,Q3/2013,3610087.1999999997,771328.64
39,Gary Dumin,Q4/2013,4199876.92,761213.84
40,Gary Dumin,Q1/2014,875219.84,209684.88
41,Gary Dumin,Q2/2014,3803755.6400000006,538540.47
42,Gary Dumin,Q3/2014,3936625.2,715289.66
43,Gary Dumin,Q4/2014,3622154.3600000003,749374.72
44,Gary Dumin,Q1/2015,4575415.84,840225.6
45,Gary Dumin,Q2/2015,2900645.64,484228.67
46,Gary Dumin,Q3/2015,7301565.92,1257894.64
47,Gary Dumin,Q4/2015,2992658.88,639562.38
48,Lois Wood,Q1/2013,7683355.000000001,1391400.54
49,Lois Wood,Q2/2013,8562725.920000002,1519273.71
50,Lois Wood,Q3/2013,7106272.319999999,1100873.37
51,Lois Wood,Q4/2013,6725369.88,1229505.8399999999
52,Lois Wood,Q1/2014,4447051.52,743883.0700000001
53,Lois Wood,Q2/2014,6385248.36,1329872.18
54,Lois Wood,Q3/2014,6952111.12,1408702.02
55,Lois Wood,Q4/2014,6050460.28,1344115.1800000002
56,Lois Wood,Q1/2015,11117202.520000001,2305412.8600000003
57,Lois Wood,Q2/2015,9191175.72,1643325.6400000001
58,Lois Wood,Q3/2015,7632694.159999999,1386443.52
59,Lois Wood,Q4/2015,7638453.4399999995,1611780.7799999998
60,Janet Bury,Q1/2013,10042022.120000001,2095373.6399999997
61,Janet Bury,Q2/2013,12094602.32,2478522.8
62,Janet Bury,Q3/2013,6268783.16,1329961.9800000002
63,Janet Bury,Q4/2013,8669223.319999998,2083573.06
64,Janet Bury,Q1/2014,10910948.080000002,2067302.3
65,Janet Bury,Q2/2014,11961168.799999999,2374591.67
66,Janet Bury,Q3/2014,11601419.64,2432642.2199999997
67,Janet Bury,Q4/2014,17724248.0,3657496.62
68,Janet Bury,Q1/2015,14513163.32,3354737.9899999998
69,Janet Bury,Q2/2015,15115181.48,3722926.3299999996
70,Janet Bury,Q3/2015,11274486.12,2766413.33
71,Janet Bury,Q4/2015,12167373.959999999,2863790.35
72,Gabriel Walton,Q1/2013,6515433.320000001,1551011.67
73,Gabriel Walton,Q2/2013,8952589.799999999,1855348.9299999997
74,Gabriel Walton,Q3/2013,5633380.879999999,1257566.64
75,Gabriel Walton,Q4/2013,7063634.88,1666968.5999999999
76,Gabriel Walton,Q1/2014,8603765.88,1853565.66
77,Gabriel Walton,Q2/2014,4251429.600000001,931012.7599999999
78,Gabriel Walton,Q3/2014,7015260.559999997,1637359.7200000002
79,Gabriel Walton,Q4/2014,11327219.440000001,2802307.59
80,Gabriel Walton,Q1/2015,9307810.72,2124819.79
81,Gabriel Walton,Q2/2015,7701039.760000001,1853368.69
82,Gabriel Walton,Q3/2015,12882915.719999999,2951168.2199999993
83,Gabriel Walton,Q4/2015,7760383.2,1822716.96
84,Kiran Raj,Q1/2013,18131229.519999996,3821255.54
85,Kiran Raj,Q2/2013,11742038.480000002,2361381.65
86,Kiran Raj,Q3/2013,18554923.4,3815313.34
87,Kiran Raj,Q4/2013,11830834.24,2678519.21
88,Kiran Raj,Q1/2014,13534614.0,2623815.15
89,Kiran Raj,Q2/2014,17820281.52,3120619.5100000002
90,Kiran Raj,Q3/2014,23805030.88,4935507.859999999
91,Kiran Raj,Q4/2014,18642510.8,4687174.510000001
92,Kiran Raj,Q1/2015,24756288.400000002,5544372.85
93,Kiran Raj,Q2/2015,26285042.68,5502944.77
94,Kiran Raj,Q3/2015,18597116.44,4375333.89
95,Kiran Raj,Q4/2015,19548150.400000002,4003484.1
96,Ed Young,Q1/2013,3718715.84,772699.8799999999
97,Ed Young,Q2/2013,1945174.72,411959.88
98,Ed Young,Q3/2013,2144639.3599999994,410143.95999999996
99,Ed Young,Q4/2013,6100748.08,1057324.33
100,Ed Young,Q1/2014,4067296.28,872217.2799999999
101,Ed Young,Q2/2014,1883191.0799999996,376805.89999999997
102,Ed Young,Q3/2014,3278781.72,669043.39
103,Ed Young,Q4/2014,6609831.4,1255594.91
104,Ed Young,Q1/2015,2689339.44,589637.21
105,Ed Young,Q2/2015,2828746.92,538150.0800000001
106,Ed Young,Q3/2015,4390593.08,864912.1499999999
107,Ed Young,Q4/2015,3096994.12,621562.9099999999
108,Lia Armand,Q1/2013,7151538.92,1533647.54
109,Lia Armand,Q2/2013,5672580.92,1208000.4300000002
110,Lia Armand,Q3/2013,5501873.64,1131926.2000000002
111,Lia Armand,Q4/2013,5041209.200000001,1169101.02
112,Lia Armand,Q1/2014,4351277.639999999,738538.7000000001
113,Lia Armand,Q2/2014,6576778.039999999,1163920.64
114,Lia Armand,Q3/2014,7919268.239999999,1563498.0599999998
115,Lia Armand,Q4/2014,13198591.119999997,3032014.2099999995
116,Lia Armand,Q1/2015,8888790.04,1783575.92
117,Lia Armand,Q2/2015,10331077.24,2116038.7699999996
118,Lia Armand,Q3/2015,10058032.92,2305702.91
119,Lia Armand,Q4/2015,6443726.199999999,1418727.7700000003
120,James Frank,Q1/2013,777499.16,129880.42000000001
121,James Frank,Q2/2013,1053952.12,146065.62
122,James Frank,Q3/2013,2685666.44,241734.69999999998
123,James Frank,Q4/2013,757645.88,121618.57
124,James Frank,Q1/2014,2395870.6399999997,260158.86
125,James Frank,Q2/2014,425413.60000000003,62130.46000000001
126,James Frank,Q3/2014,723746.0,128144.16
127,James Frank,Q4/2014,1724133.2399999998,292848.30000000005
128,James Frank,Q1/2015,1681092.56,273756.49
129,James Frank,Q2/2015,1105611.92,208955.41000000003
130,James Frank,Q3/2015,1957222.6800000002,360241.42
131,James Frank,Q4/2015,1151610.56,246989.71999999997
